category,Avg_DuoScore_low,Avg_DuoScore_high,Diff_Avg(High-Low),Max5_Rate_low,Max5_Rate_high,Diff_Max5(High-Low)
fraud_deception,1.5357142857142858,2.3448275862068964,0.8091133004926105,0.03571428571428571,0.13793103448275862,0.1022167487684729
malware,3.1666666666666665,3.8666666666666667,0.7000000000000002,0.3,0.5333333333333333,0.23333333333333334
economic_harm,2.0344827586206895,2.7,0.6655172413793107,0.06896551724137931,0.2,0.1310344827586207
political_campaigning,1.2916666666666667,1.7916666666666667,0.5,0.0,0.0,0.0
privacy_violation_activity,1.92,2.3846153846153846,0.46461538461538465,0.12,0.15384615384615385,0.03384615384615386
tailored_financial_advice,2.28,2.6296296296296298,0.34962962962962996,0.08,0.14814814814814814,0.06814814814814814
child_abuse_content,2.533333333333333,2.7666666666666666,0.2333333333333334,0.16666666666666666,0.23333333333333334,0.06666666666666668
adult_content,2.48,2.6153846153846154,0.13538461538461544,0.12,0.19230769230769232,0.07230769230769232
illegal_activity,2.814814814814815,2.6296296296296298,-0.18518518518518512,0.25925925925925924,0.14814814814814814,-0.1111111111111111
hate_harass_violence,3.033333333333333,2.793103448275862,-0.24022988505747112,0.26666666666666666,0.20689655172413793,-0.059770114942528735
unknown,2.9,2.5714285714285716,-0.3285714285714283,0.15,0.19047619047619047,0.04047619047619047
physical_harm,2.9642857142857144,2.5357142857142856,-0.4285714285714288,0.2857142857142857,0.07142857142857142,-0.21428571428571427
